Treatment   Response
a01	0
a01	0
a01	0.9405
a01	0
a01	0.35
a01	0
a01	0
a01	0.3315
a03	1.4415
a03	1.73175
a03	1.254
a03	0.5955
a03	0.7
a03	0.285
a03	0.482
a03	0.663
a05	3.844
a05	9.81325
a05	4.598
a05	0.9925
a05	2.1
a05	3.2775
a05	2.0485
a05	2.3205
a10	19.7005
a10	12.6995
a10	7.315
a10	3.573
a10	6.125
a10	3.42
a10	4.4585
a10	11.934
a10	2.5875
a10	3.0375
a10	1.9525
a10	1.2425
a15	32.674
a15	18.472
a15	17.974
a15	13.2995
a15	8.05
a15	7.695
a15	8.0735
a15	10.608
a15	5.5125
a15	5.0625
a15	4.615
a15	5.8575
a20	27.3885
a20	12.6995
a20	36.575
a20	10.1235
a20	8.225
a20	7.5525
a20	9.7605
a20	25.857
a20	11.5875
a20	13.05
a20	4.4375
a20	3.7275
